Time[s], 通道 0, 通道 1, 通道 2, 通道 3, 通道 4, 通道 5
0.00336641, 1, 1, 1, 1, 0, 0
0.00337248, 1, 1, 1, 1, 1, 0
0.00337587, 1, 1, 1, 1, 0, 0
0.00338195, 1, 1, 1, 1, 1, 0
0.00338533, 1, 1, 1, 1, 0, 0
0.00339141, 1, 1, 1, 1, 1, 0
0.00339479, 1, 1, 1, 1, 0, 0
0.00340213, 1, 1, 1, 1, 1, 0
0.00340554, 1, 1, 1, 1, 0, 0
0.00340568, 1, 1, 1, 1, 0, 1
0.00340816, 1, 1, 1, 1, 0, 0
0.00341077, 1, 1, 1, 1, 0, 1
0.00341416, 1, 1, 1, 1, 1, 1
0.00341672, 1, 1, 1, 1, 1, 0
0.00342010, 1, 1, 1, 1, 0, 0
0.00342288, 1, 1, 1, 1, 0, 1
0.00342626, 1, 1, 1, 1, 1, 1
0.00342964, 1, 1, 1, 1, 0, 1
0.00343234, 1, 1, 1, 1, 0, 0
0.00343572, 1, 1, 1, 1, 1, 0
0.00343910, 1, 1, 1, 1, 0, 0
0.00344180, 1, 1, 1, 1, 0, 1
0.00344518, 1, 1, 1, 1, 1, 1
0.00344856, 1, 1, 1, 1, 0, 1
0.00345127, 1, 1, 1, 1, 0, 0
0.00345464, 1, 1, 1, 1, 1, 0
0.00345803, 1, 1, 1, 1, 0, 0
0.00346411, 1, 1, 1, 1, 1, 0
0.00346749, 1, 1, 1, 1, 0, 0
0.00347357, 1, 1, 1, 1, 1, 0
0.00347695, 1, 1, 1, 1, 0, 0
0.00348303, 1, 1, 1, 1, 1, 0
0.00348641, 1, 1, 1, 1, 0, 0
0.00348911, 1, 1, 1, 1, 0, 1
0.00349249, 1, 1, 1, 1, 1, 1
0.00349588, 1, 1, 1, 1, 0, 1
0.00349598, 1, 1, 1, 1, 0, 0
0.00350322, 1, 1, 1, 1, 1, 0
0.00350662, 1, 1, 1, 1, 0, 0
0.00351406, 1, 1, 1, 1, 1, 0
0.00351746, 1, 1, 1, 1, 0, 0
0.00352176, 1, 1, 1, 1, 1, 0
0.00352516, 1, 1, 1, 1, 0, 0
0.00352946, 1, 1, 1, 1, 1, 0
0.00353287, 1, 1, 1, 1, 0, 0
0.00353716, 1, 1, 1, 1, 1, 0
0.00354057, 1, 1, 1, 1, 0, 0
0.00354487, 1, 1, 1, 1, 1, 0
0.00354827, 1, 1, 1, 1, 0, 0
0.00355257, 1, 1, 1, 1, 1, 0
0.00355597, 1, 1, 1, 1, 0, 0
0.00355612, 1, 1, 1, 1, 0, 1
0.00356027, 1, 1, 1, 1, 1, 1
0.00356367, 1, 1, 1, 1, 0, 1
0.00356797, 1, 1, 1, 1, 1, 1
0.00357138, 1, 1, 1, 1, 0, 1
0.00357571, 1, 1, 1, 1, 1, 1
0.00357912, 1, 1, 1, 1, 0, 1
0.09078911, 1, 1, 1, 1, 0, 0
0.09159264, 1, 1, 1, 1, 0, 1
0.10027057, 1, 1, 1, 1, 0, 0
0.10027250, 1, 1, 1, 1, 0, 1
